Author,uTime,Text
NITEX,1578481113,কথ হইতছ যর এই মসজ লখছ তর সমপল ইলশ বনন কযমন ভল কর  Provide translation to English
ওমর রশীদ চৌধুরী,1578491596,"এই ডইলখর, চতনহন, মদকসকত, ছচক চর, অরবচন, মরখ অমনষট আসল একট সরয়ল রপসট এধরণর মনষ ইয়বডইল খয় নশর ঘর আইন কননর কথ মথতই আনব ন, ধরষণ কর ফলব, ফলছও এই মনষক পরতহত করর জনয মকষম জয়গয় একট মঝর লথ ব অযপলস অযডম বরবর একট হতর কপই যথষট ছল এই লকট কন দলরও ন ময়টই এক সনকত করছ এখন লকটর বচর হয় যব, আম নশচত, কউ এক বচতও আসব ন করমক খন রস খও ঝল যচছ কছদনর মধযই বচর হলই ক খন হয় যওয় মনষগল ফর আসব রপর কষত দর হব ডরগ ইনডউসড রইপ ছয় যচছ সর দনয়, ঠকন যচছ ন কনত আমর পরমরশ মতন দই চরট সমনয ডফনসভ টকনক অযপলই করলই ময়ট হয়ত রপ থকই রকষ পয় যত বচর সব সময় যথষট নয় এসব ঠকত, কথওই নয় বচর অবশযই হত হব, আম করও চয় কন অশ কম বচর চই ন কনত রপর পর বচর হওয়র চয় অবশযই রপ ন হওয় অসখযগণ ভল আম এটই বলত চয়ছ আগর পসট "
Muhammad Talut,1577959039,"এব সই 51 গফটর 90 নমন মনর কপ পরচ, গলসর সট, আর 5 আবর কপ পরচ গলসর সট তব একষতর রসইকলড, মন নজদর বয়র গফট আবর পযক কর দওয়   Provide translation to English"
Shukti Sharita,1578043382,এই য একজন চতনবব পওয় গছ  Provide translation to English
Atik Amin,1578388673, রপতন বলদশ ছতরলগ ভরত য রপতন করত সফল হয়ছ ত হল সকল শকষ পরতষঠন সনতরস করমকনড ছতরলগয় কয়দয় জএনইউত হমল করছ ইনডয়র বজপর ছতর সগঠনর সনতরস ভপ নরর মত জএনইউর ভপক মর রকতকত করছ দশ আলদ হলও সনতরস আলদ নয়  Provide translation to English
আবু জাহেদ,1578318170,"বলদশ ক Stockholm Syndrome এ আকরনত  ১৯৭৩ সল অগসট মস সইডনর রজধন সটকহম অবসথত Sveriges Kreditbank বযক একট অপহরণর ঘটন ঘট JanErik Olsson নমর একজন পলতক আসম বযকর ৪ জন করমকরতক ৬ দন ভলটর ভতর আটক রখ পরয় ৭ লকষ ডলর, একট গড় এব তর একজন সঙগর মকত দব কর এই ঘটনয় বনদ Elisabeth Oldgren কলসটরফবয়ত আকরনত হল Olsson তক পশ একট খল যয়গয় যওয়র অনমত দয় পরবরতত Oldgren সহ আটকদর অনকই Olsson এর পরত কতজঞ হয় ওঠ এব তকই তদর তরণকরত ভবত শর এব উদধরকর পলশ বহনক বপদজনক মন করত শর কর তর Olsson এর দবদওয়র পরতও সহনভতশল হয় পড় বনদদর এইভব তদর দরবসথর জনয দয় বযকতর পরত সহনভতশল হয় পড়ক মনবজঞনর নম দন Stockholm Syndrome. এই আওয়ম সবরচর, নজর কষমত ককষগত কর রখত রসটরয় অরথ বযয় কর এক নজরবহন ভটডকতর নরবচন করছ  বধয করছ পর আমল এব পলশ বহনক অসৎ হত তরণ সমজ যত বকষদধ ন হয় উঠত পর, তই বশববদযলয়গলত ছতরলগর মধযম তরসর রজতব কয়ম করছ অথচ এদশর অনক মনষই এখন ভবছ য হসনই হয়ত তদর রকষ করব আর তই আওয়মলগর তর দনব ছতরলগর হত কযমপস আবরর নহত হল তর ববম ছট যয় গণভবন বচরর আশয় সড়ক দরঘটনয় নহতদর কষতরও একই বযপর ঘটত দখ গছ যদও সড়কর অবযবসথপনর মল শজহন খন হসনর অনযতম সহচর তই মন হয়, বলদশর অনক মনষই আজ Stockholm Syndrome এ ভগছ কনত এই সবরচরর পকষ ক আদ নজর সবরথ তর এই পটয় বহনর নরমল সমভব কব তর ক আদ সই লকষয আছ আবররর মতযর পর ক কযমপস সনতরস বনধ হয়ছ যদ তই হব, তহল ডকসত হমল হল কন বয়টর কছ অকতভয় শকষরথ সদন যদ সসটভর ফটজ দখল ন নত, তহল আবররর হতযকরর ক আসলই বচরর সমমখন হত ডকসত হমলর পর সসটভর ফটজ হরয় যওয় ক সই আশঙকক সতয পরমণ করন সমভবন কম হয়ত, তব আমর ত আশঙক হচছ পর ভডও ফটজ এডট কর দয়ট নরদর ঘড় চপয় দয়র একট চষট হতও পর বলদশর মনষক একট সবধন দশর নগরকর সবদ পত হল এই Stockholm Syndrome থক মকত হত হব হসনর কছ বচর চওয় বনধ করত হব সকল সমসযর মল য এই সবরচর, ত সপষটভব বঝত হব সবরচরর সথ এব তর দসরদর সথ সকল লনদন বনধ করত হব সবরচর বরধ সকল শকতক ঐকযবদধ হত হব আর কন বকলপ নই"
Gazi Tanbir,1578157610,"বয়ট যদ ছতররজনত নষদধ হয় থক, তহল বরতমন সময় বয়ট ছতরলগর সভপত থক কভব মতর ৫ মনট আগ সকরনশট নলম  Provide translation to English"
Nasrul Islam Shohan,1578201655,"সনতন জপএ ৫ পয়ন ত ক হয়ছ  পথবর ধন রষটরপরধনদর অনযতম আমরকর পরসডনট ডনলড টরমপ তর নট সমপদর পরমন তন বলয়ন ডলররও বশ ১০০০ মলয়ন হয় ১ বলয়ন আর, ১০ লখ ১ মলয়ন বঝন এবর কতট ধন পরসডনট টরমপ এরকম এক ডজনরও বশ টরমপক এক সথ করল যত বড় ধন কলপন কর যয় তরও চয় বশ ধন জযক ম, যন বরতমন চনর সর ধন টরমপ সহব কনত উততরধকরসতর অনক সমপদ পয়ছন অনযদক, জযক ম কছই পনন, সবই তর নজ... Continue Reading"
Tasbih Chowdhury,1578189698,"Certificate 12th Workshop On Disaster Management and Environmental Safety. Date January 5, 2020, Sunday Time 1000AM1200PM Duration 3 Months... Continue Reading"
ML Gani,1578101221,পরসতবন  সগঠনর নম  সন  আবরর ফউনডশন গরপর অনকর পরসতব দখ তনট পরগরম মথয় আসতছ  ১ সন  আবরর রসরচ গরনট ১ ২ আবরর সহসকত পরসকর ২ ৩ সন ভকটম সপরট পরগরম ৩ মযনজমনট  একট পরজকট নয় দরঘময়দ ধর থকব বশষ কর ভলনটর কজ এরকম মনষ পওয় সব সময় কষটকর আড়পতর এডমনবনদ এই ফউনডশন চলইত পর কষমতবল আড়পতর হডমন সভপত বক অযডমন সদসয এছড় সনয়র কছ উপদষট থকবন থকবন কছ পরজকট রভউয়র  ডনশন  ডনশন আশ কর সমসয হব ন বরষক ননযতম ১০০ ডলর দব এরকম ৫০ জন ডনর পল আমর এক বছরর খরচ হয় যব অথব ডনশন লমট ন দয় ৫০০০ ডলর বরষক উঠন যয় অনক মনষর কছ থক  আপনদর সচনতত মতমত আশ করতছ
Md Mizanur Rahman Khan,1578482768,"গত ১২ ডসমবর রডসন বল ওয়টর গরডন অনষঠত পরয় ১৭ কট টকর সটরটআপ পরতযগত Tiger Challenge এর গলবল ফইনল বজয় ৩ট কমপনর একট ছল Drinkwell. আম পসট দয়ছলম তদরক নয় আজক আমর অফসর ঠক পছনর দক হট কর চখ পড়ল তদরক করযকরম ওয়সর সথ চকত করছ তর ঢক ও চটটগরমর অসখয সথন বশদধ পনর এটএম বথ সথপন করছ ঢকয় পরত লটর ৪০ পয়স মতর অসধরণ এই উদযগর ফল সবলপ খরচ বশদধ পন পব সধরণ মনষ ও বযবসয়র আশ কর, তর সরজবন জবণমকত পন দব আমদরক Sustainable Social Business এর উজজবল দষটনত এই কমপনট আম খবই আননদত তদর সথ একই পরতযগতয় অশ নত পর"
"The Institution of Engineers, Bangladesh (IEB)",1578539210,"লখছন জজ শওকত হসন, লখট ভল লগছ বধয় শয়র দলম একজন বচরক মযজসটরট হশব অসখয রপসট এব ভকটমর জবনবনদ আম গরহন করছ তছড় আমর একডমক পড়শনও Criminology এব Criminal Psychology নয় পশগত এব একডমক অভজঞত থক আম Rape, Rapist, Victim এব এই সমপরক গনমনসততয বষয় কছ লখ পরয়জন মন করছ বলই এই দরঘ লখ ... Continue Reading"
Md Lutfor Rahman,1577987618,গরপর কউক কখনও বলক কর ন কনত আজ একজনক করলম য তর বলক লসটর সকরনশট দয় ২০২০ বছরর শভচছ হসব তদরক আনবলক কর দয়ছ যহত তর বলক লসট ছলম সহত তন আনবলক করর সথ সথই তক বলক দয়ছ এট নতক মন হয়ছ  Provide translation to English
Shariat Rahman,1578544940,পসট ঢক এয়রপরট কসটমস আমর একট ছট বলটথ ইয়রফন আটকয়ছ ফডকসর মধযম শপড হয়ছ ওর বলছ য ২০০০২৫০০ এর নচ হউয়র কন সমভবন নই কসটমসর চরজ আর সথ ফডকসর সরভস চরজ ৮৫০ এখন ৩৫০০ টকর বলটথ ইয়রফনর জনয যদ আবর ৩৫০০ টকর কসটমস চরজ লগ তইল ত খবই ফপর পড় গলম কউ ক উদধর করত পরবন এখন থক  Provide translation to English
Santanu Santu,1578343977,"AN EXCUSE SHOWCASE OF GREEN POWER SOLUTIONS Renewable Energy Show 2020 5th Edition Date April 2, 3  4, 2020 Thursday, Friday  Saturday. Date 1000AM700PM Each 3 Day. Venue International Convention City Bashundhara, ICCB. Kuril Bishwa Road Next To 300 Ft Road, Purbachal Express Highway, Dhaka1206. Presented By SAVOR EXPO.  Provide translation to Bengali"
মোহাম্মাদ রাশেদুর রহমান রাশেদ,1578551998,DU has secured the highest position with 669 publications and Bangladesh University of Science and Technology BUET has second position with 666 publications. শধ সখয দয় অবশয সবকছ বঝ যয় ন কতটক কয়লট মইনটইন হচছ ক জন আনডরগরড থসস নয় আমর য কদর বদর কর  Provide translation to English
Asif Reza Chowdhury,1578038375,"টরন এভব কউ ঘময় টকট চকর পরযনত পরথম ভয় পয়ছল সথন টঙগ রলওয় জশন, টঙগইল কমউটর টরন collected  Provide translation to English"
Md Mizanur Rahman Khan,1578193819,"নজর প এইচ ড এডভইজর যখন আমর শকষমলক এব মনবক কজ দখ নজক সভগযবন মন কর এব গরববধ কর, বযপরট অদভত ভল লগর কতজঞত পরবরর সকলর পরত যদর উৎসহ এব সহযগত ছড় এত সময় দয় সমভব হত ন কতজঞত আমদর Education Foundation টমর সবর পরত, যর দনর পর দন রতর পর রত সময় দয় একট ভল কছ করর চষট করতছ আর কতজঞত আমর বনধ, পরচত অপরচত বড় ভই ছট যদর ডনশন আমদর কজগল সনদরভব হচছ আমদর ফউডশনর ৮০ ভগর উপর ডনশন আস বয়টয়নদর কছ থক আলহমদলললহ"
"The Institution of Engineers, Bangladesh (IEB)",1578325543,"ধরষণ থক কউ নরপদ নয়, কথও নরপদ নয় তই পরতরকষমলক বযবসথ সবর আগ দরকর হরভরড, অকসফরড, ইলযনড, ভরত, আমরক, রশয়, সইডন সবখন ধরষণ হচছ, সবই হচছ, শশ, ছল, ময়, বড়, বড় কউ বদ যচছ ন বচর যথষট হয়ন এট থমত, পরওন বলদশর মত ঘনবসতময় নতববরজত মনষ ভর জয়গয় ধরষণ থমনকমন খবই কঠন এব সময়সপকষ সরকরর ব অনয করও কছ কছ আশ কর বস থক আমর আজকই ধরষত হওয়র রসক নত পর ন অবশযই সরকর এই ভয়বহ সমসয নরসন বযরথ, জনগণও তই, আরও অনক দশর মতই তই এট পরতরধর জনয য য কর সমভব, ত করত হব আতমরকষরথ যসব পদধত করযকর, ত আয়তত এন পরয়গ করত হব"
Farhan Uddin,1578540812,"আমর একট মতর ছল ১৭ মস বয়স ওর আজকল ম ছড় কছই বঝ ন ওর দই খলর একজন কর আমদর বসয় থক একজন বড়ত গছ বয়সক ববমক সপরট দত আরকজনর আজক একট পরকষ আছ আমর আমম গরমর বড়ত আছ সও মটমট অসসথ আমর ৪ ভইবন ও আমর বউয়র ৩ বন হওয়র পরও হমশম খয় যচছ একট বচচ সমলতই নজদর ফজওথরপ সনটর থকয় সবধমত সময় বসত পরছ আমর বউ৷ নইল চকর ছড় দয় ঘর সমলত হত আজ থক ঠক ২৫ বছর পরর অবসথ চনত করছ আমর ছল ও তর বউয়র ১ট ভই ব বন আমরও বয়সর ভর সরকষণ অসসথ থক আমর ছল বউ কভব ছট বচচ ও পশগত জবন সমলব, বঝত পরছ ন তছড় আমর সনয়র সটজনর অসসথ হয় হসপতল ভরত থকল আমর ছল ও ছল বউ কতট অসহয় অবসথয় পড়ব, ভবতই আতক উঠছ উননত বশব এসব পরসথত সমলনর জনয হলথ ইনসইরনস আছ, হসপতল উপযকত সব আছ, দয়তবশল কয়রগভর আছ আমদর সমজবযবসথর দক তকল বঝ যয় য, ২৫ বছর পরও সবসথয বযবসথর উননতর কন আশ নই  সরকর ও বদধজবর ক এসব বষয় নয় আসলই ভবছন"
Kamrul Hasan,1578546129,"পরষতনতর এমন এক মড়ল চখ তর জনমই আমর পপ জলম তর এতটই পরবল বচ থকটই অভশপ বরবর তই বলস তই পপড় আম চন বরবর তই বলস খনক মগ হজব কই বরবর তই বলস সনধযর পর বইর ক বরবর তই বলস আম নর, সব দয় আমরই বরবর তই বলস আম নর, সব দয় আমরই বরবর তই বলস আম নর, সব দয় আমরই এই দয় আমর নয়, নয় চলনবলনজমর এই দয় আমর নয়, নয় চলনবলনজমর এই দয় আমর নয়, নয় চলনবলনজমর এই দয় আমর নয়, নয় চলনবলনজমর এই দয় শধ তর,তই ধরষক এই দয় শধ তর, তই ধরষক এই দয় শধ তর, তই মড়ল এই দয় শধ তর, তই পলশ এই দয় শধ তর, তই রষটর এইদয় শধ তর, তই সরকর জলম তই মড়ল, তই ধরষক জলম তই পলশ, তই ধরষক জলম তই রষটর, তই ধরষক জলম তই সরকর, তই ধরষক এই দয় শধ তর,তই ধরষক এই দয় শধ তর, তই ধরষক এই দয় শধ তর,তই ধরষক এই দয় শধ তর, তই ধরষক Video is collected from Maeen Ahmeds facebook wall"
Md Lutfor Rahman,1578511886,কয়কমস আগ আমদর কনভকশন নয় নজসব ফরম আমর অনক হতশ পরকশ করছলম  কল SUSTএর কনভকশনর কথ শন আর এই পসট দখ ত এখন কছট হলও নজদরটর তপত পচছ   Provide translation to English
